Year,State,corn_yield_bu_acre,avg_temp_growing,total_rain_growing
2000,ALABAMA,65.0,24.488333333333333,389.36
2001,ALABAMA,107.0,22.758333333333336,695.82
2002,ALABAMA,88.0,24.525000000000002,580.34
2003,ALABAMA,122.0,22.995,968.49
2004,ALABAMA,123.0,23.205,674.05
2005,ALABAMA,119.0,23.218333333333334,811.89
2006,ALABAMA,72.0,24.418333333333333,510.26
2007,ALABAMA,78.0,24.570000000000004,395.24
2008,ALABAMA,104.0,23.483333333333334,708.4300000000001
2009,ALABAMA,108.0,22.945000000000004,906.0699999999999
2010,ALABAMA,115.0,24.80666666666667,606.04
2011,ALABAMA,114.0,24.366666666666664,587.76
2012,ALABAMA,98.0,23.945000000000004,631.16
2013,ALABAMA,147.0,22.616666666666664,768.38
2014,ALABAMA,159.0,23.14833333333333,645.44
2015,ALABAMA,147.0,23.84,658.36
2016,ALABAMA,120.0,24.27,505.76
2017,ALABAMA,167.0,23.28333333333333,866.2800000000001
2018,ALABAMA,156.0,23.973333333333333,766.97
2019,ALABAMA,147.0,24.755,519.99
2020,ALABAMA,158.0,23.031666666666666,624.26
2021,ALABAMA,163.0,22.92833333333333,785.13
2022,ALABAMA,118.0,23.858333333333334,665.87
2023,ALABAMA,164.0,23.923333333333332,600.0500000000001
2024,ALABAMA,112.0,24.721666666666668,636.29
2025,ALABAMA,157.0,24.39,768.51
2000,ARIZONA,196.0,27.135,100.75
2001,ARIZONA,208.0,26.448333333333334,175.79
2002,ARIZONA,185.0,27.008333333333336,95.19
2003,ARIZONA,190.0,26.156666666666666,120.44
2004,ARIZONA,180.0,25.933333333333334,158.81
2005,ARIZONA,195.0,25.78333333333333,127.29
2006,ARIZONA,170.0,25.861666666666668,171.8
2007,ARIZONA,185.0,26.298333333333332,164.46
2008,ARIZONA,165.0,25.040000000000003,227.81
2009,ARIZONA,175.0,26.14,134.37
2010,ARIZONA,210.0,25.400000000000002,158.07999999999998
2011,ARIZONA,178.0,26.266666666666666,131.64000000000001
2012,ARIZONA,195.0,26.621666666666666,163.73000000000002
2013,ARIZONA,177.0,26.281666666666666,141.19
2014,ARIZONA,210.0,26.02333333333333,214.64
2015,ARIZONA,210.0,26.106666666666666,149.91
2016,ARIZONA,215.0,26.28833333333333,121.24
2017,ARIZONA,195.0,26.540000000000003,107.02000000000001
2018,ARIZONA,220.0,27.56833333333333,122.18
2019,ARIZONA,231.0,26.19666666666667,100.47999999999999
2020,ARIZONA,202.0,27.756666666666664,32.07
2021,ARIZONA,181.0,26.906666666666666,241.78
2022,ARIZONA,220.0,27.126666666666665,177.26999999999998
2023,ARIZONA,206.0,27.155,59.94
2024,ARIZONA,225.0,27.724999999999998,77.12
2000,ARKANSAS,130.0,24.74,461.65000000000003
2001,ARKANSAS,145.0,24.291666666666668,426.73
2002,ARKANSAS,134.0,23.808333333333334,473.01
2003,ARKANSAS,140.0,23.063333333333333,673.3599999999999
2004,ARKANSAS,140.0,23.064999999999998,568.5
2005,ARKANSAS,131.0,24.496666666666666,486.78000000000003
2006,ARKANSAS,146.0,24.478333333333335,554.23
2007,ARKANSAS,169.0,23.425,593.53
2008,ARKANSAS,152.0,22.558333333333334,921.51
2009,ARKANSAS,148.0,22.026666666666667,1092.85
2010,ARKANSAS,150.0,25.123333333333335,566.41
2011,ARKANSAS,141.0,24.501666666666665,768.37
2012,ARKANSAS,178.0,25.108333333333334,428.21
2013,ARKANSAS,186.0,23.39833333333333,533.37
2014,ARKANSAS,187.0,22.688333333333333,633.95
2015,ARKANSAS,181.0,23.743333333333336,759.34
2016,ARKANSAS,171.0,23.828333333333333,685.16
2017,ARKANSAS,183.0,23.30666666666667,785.6899999999999
2018,ARKANSAS,181.0,23.91,720.5
2019,ARKANSAS,175.0,23.95,897.11
2020,ARKANSAS,184.0,22.386666666666667,934.58
2021,ARKANSAS,184.0,23.231666666666666,664.45
2022,ARKANSAS,173.0,24.218333333333334,627.53
2023,ARKANSAS,183.0,24.271666666666665,536.86
2024,ARKANSAS,187.0,24.311666666666667,592.87
2025,ARKANSAS,179.0,24.208333333333332,923.55
2000,CALIFORNIA,170.0,24.973333333333333,51.42
2001,CALIFORNIA,170.0,25.221666666666664,86.29
2002,CALIFORNIA,170.0,24.939999999999998,42.14
2003,CALIFORNIA,160.0,24.846666666666664,108.86
2004,CALIFORNIA,175.0,25.241666666666664,38.92
2005,CALIFORNIA,172.0,24.035,120.47
2006,CALIFORNIA,165.0,24.828333333333333,142.93
2007,CALIFORNIA,182.0,24.766666666666666,81.32
2008,CALIFORNIA,195.0,25.375,11.44
2009,CALIFORNIA,180.0,25.459999999999997,44.1
2010,CALIFORNIA,192.0,23.145,87.61
2011,CALIFORNIA,181.0,23.406666666666666,49.540000000000006
2012,CALIFORNIA,180.0,25.275000000000002,70.25
2013,CALIFORNIA,191.0,25.691666666666666,21.23
2014,CALIFORNIA,165.0,26.126666666666665,39.02
2015,CALIFORNIA,157.0,25.715,55.71
2016,CALIFORNIA,185.0,25.595,41.71
2017,CALIFORNIA,167.0,25.998333333333335,51.53999999999999
2018,CALIFORNIA,173.0,25.945000000000004,34.09
2019,CALIFORNIA,168.0,25.156666666666666,83.15
2020,CALIFORNIA,187.0,25.493333333333336,96.8
2021,CALIFORNIA,188.0,26.45,7.890000000000001
2022,CALIFORNIA,177.0,26.546666666666667,33.83
2023,CALIFORNIA,178.0,23.986666666666665,73.05
2024,CALIFORNIA,182.0,26.221666666666668,39.33
2000,COLORADO,126.0,15.385,268.96
2001,COLORADO,140.0,15.15,286.74
2002,COLORADO,150.0,15.835,161.29
2003,COLORADO,135.0,14.636666666666665,258.55
2004,COLORADO,135.0,13.746666666666668,366.02
2005,COLORADO,148.0,14.718333333333334,240.59
2006,COLORADO,156.0,14.753333333333332,308.74
2007,COLORADO,140.0,14.451666666666666,350.01
2008,COLORADO,137.0,13.988333333333335,245.01999999999998
2009,COLORADO,153.0,13.391666666666666,367.77
2010,COLORADO,151.0,14.65,242.42
2011,COLORADO,133.0,14.618333333333334,292.06
2012,COLORADO,133.0,16.044999999999998,246.98
2013,COLORADO,131.0,14.085,389.65
2014,COLORADO,146.0,13.785000000000002,338.08
2015,COLORADO,142.0,13.993333333333332,416.89
2016,COLORADO,137.0,14.263333333333334,291.62
2017,COLORADO,143.0,14.061666666666667,375.88
2018,COLORADO,129.0,15.75,210.28
2019,COLORADO,123.0,14.525,264.45
2020,COLORADO,116.0,15.193333333333333,197.54999999999998
2021,COLORADO,129.0,15.020000000000001,314.22999999999996
2022,COLORADO,121.0,15.218333333333334,290.14
2023,COLORADO,122.0,14.39,449.21000000000004
2024,COLORADO,116.0,15.5,253.54999999999998
2025,COLORADO,130.0,15.040000000000001,353.96999999999997
2000,CONNECTICUT,19.0,16.56833333333333,597.2900000000001
2001,CONNECTICUT,19.0,17.775000000000002,488.26
2002,CONNECTICUT,18.0,18.308333333333334,482.49
2003,CONNECTICUT,17.5,16.766666666666666,627.14
2004,CONNECTICUT,21.5,17.533333333333335,705.21
2005,CONNECTICUT,20.0,18.216666666666665,440.72
2006,CONNECTICUT,17.5,17.258333333333333,799.85
2007,CONNECTICUT,19.5,17.46666666666667,507.63
2008,CONNECTICUT,21.5,17.588333333333335,684.36
2009,CONNECTICUT,15.5,16.876666666666665,694.5
2010,CONNECTICUT,20.5,18.95,440.09000000000003
2011,CONNECTICUT,16.0,18.078333333333333,878.8400000000001
