State,Year,Month,T2M,PRECTOTCORR
ALABAMA,2000,1,7.11,3.72
ALABAMA,2000,2,10.49,1.59
ALABAMA,2000,3,14.31,4.18
ALABAMA,2000,4,15.44,4.11
ALABAMA,2000,5,23.39,1.28
ALABAMA,2000,6,26.29,2.38
ALABAMA,2000,7,29.15,1.77
ALABAMA,2000,8,28.79,1.41
ALABAMA,2000,9,23.87,1.88
ALABAMA,2000,10,19.18,0.91
ALABAMA,2000,11,10.58,6.15
ALABAMA,2000,12,2.85,3.01
ALABAMA,2001,1,4.07,3.76
ALABAMA,2001,2,10.43,4.65
ALABAMA,2001,3,9.53,8.2
ALABAMA,2001,4,17.81,3.44
ALABAMA,2001,5,20.81,3.55
ALABAMA,2001,6,23.91,5.63
ALABAMA,2001,7,26.45,2.35
ALABAMA,2001,8,25.94,4.42
ALABAMA,2001,9,21.63,3.46
ALABAMA,2001,10,15.74,2.37
ALABAMA,2001,11,14.38,2.76
ALABAMA,2001,12,9.0,3.51
ALABAMA,2002,1,7.59,4.39
ALABAMA,2002,2,6.44,2.59
ALABAMA,2002,3,12.13,4.34
ALABAMA,2002,4,18.71,1.76
ALABAMA,2002,5,21.5,2.84
ALABAMA,2002,6,25.78,3.08
ALABAMA,2002,7,27.95,3.56
ALABAMA,2002,8,27.58,1.84
ALABAMA,2002,9,25.63,5.99
ALABAMA,2002,10,19.63,3.16
ALABAMA,2002,11,9.99,4.17
ALABAMA,2002,12,6.59,5.93
ALABAMA,2003,1,3.22,1.74
ALABAMA,2003,2,8.05,5.18
ALABAMA,2003,3,13.82,3.8
ALABAMA,2003,4,17.48,6.03
ALABAMA,2003,5,21.93,7.69
ALABAMA,2003,6,23.97,7.4
ALABAMA,2003,7,25.92,5.18
ALABAMA,2003,8,26.49,3.72
ALABAMA,2003,9,22.18,1.71
ALABAMA,2003,10,16.92,1.19
ALABAMA,2003,11,13.73,4.25
ALABAMA,2003,12,5.32,2.33
ALABAMA,2004,1,5.92,2.18
ALABAMA,2004,2,6.97,5.34
ALABAMA,2004,3,14.22,1.07
ALABAMA,2004,4,16.19,2.54
ALABAMA,2004,5,22.93,3.38
ALABAMA,2004,6,25.18,4.18
ALABAMA,2004,7,26.95,2.61
ALABAMA,2004,8,25.15,3.56
ALABAMA,2004,9,22.83,5.88
ALABAMA,2004,10,20.26,1.26
ALABAMA,2004,11,13.69,6.98
ALABAMA,2004,12,6.23,2.62
ALABAMA,2005,1,8.23,2.27
ALABAMA,2005,2,9.97,5.1
ALABAMA,2005,3,11.26,5.47
ALABAMA,2005,4,15.88,4.63
ALABAMA,2005,5,19.95,3.75
ALABAMA,2005,6,25.07,4.16
ALABAMA,2005,7,26.87,8.05
ALABAMA,2005,8,26.93,3.89
ALABAMA,2005,9,24.61,2.06
ALABAMA,2005,10,17.0,0.68
ALABAMA,2005,11,12.66,2.95
ALABAMA,2005,12,5.3,2.92
ALABAMA,2006,1,9.74,4.43
ALABAMA,2006,2,6.78,4.74
ALABAMA,2006,3,12.41,3.22
ALABAMA,2006,4,18.93,2.81
ALABAMA,2006,5,21.53,3.13
ALABAMA,2006,6,26.06,1.93
ALABAMA,2006,7,28.46,2.68
ALABAMA,2006,8,28.79,2.85
ALABAMA,2006,9,22.74,3.32
ALABAMA,2006,10,16.64,3.57
ALABAMA,2006,11,10.45,3.91
ALABAMA,2006,12,8.65,3.44
ALABAMA,2007,1,7.06,2.87
ALABAMA,2007,2,6.37,2.41
ALABAMA,2007,3,15.2,1.02
ALABAMA,2007,4,15.3,2.2
ALABAMA,2007,5,22.98,0.51
ALABAMA,2007,6,27.45,2.01
ALABAMA,2007,7,26.78,3.21
ALABAMA,2007,8,30.15,3.02
ALABAMA,2007,9,24.76,2.0
ALABAMA,2007,10,19.37,2.19
ALABAMA,2007,11,11.75,1.37
ALABAMA,2007,12,10.09,2.65
ALABAMA,2008,1,5.09,3.73
ALABAMA,2008,2,8.81,5.36
ALABAMA,2008,3,12.38,3.41
ALABAMA,2008,4,16.77,4.03
ALABAMA,2008,5,21.17,4.07
ALABAMA,2008,6,26.24,2.6
ALABAMA,2008,7,27.66,3.51
ALABAMA,2008,8,26.19,7.55
ALABAMA,2008,9,22.87,1.35
ALABAMA,2008,10,16.5,2.3
ALABAMA,2008,11,9.96,2.14
ALABAMA,2008,12,8.5,4.84
ALABAMA,2009,1,6.29,3.75
ALABAMA,2009,2,8.02,4.74
ALABAMA,2009,3,13.08,7.08
ALABAMA,2009,4,16.09,2.98
ALABAMA,2009,5,21.12,6.87
ALABAMA,2009,6,26.5,2.23
ALABAMA,2009,7,25.32,5.14
ALABAMA,2009,8,25.43,4.26
ALABAMA,2009,9,23.21,8.18
ALABAMA,2009,10,16.65,6.22
ALABAMA,2009,11,10.78,4.89
ALABAMA,2009,12,5.77,7.07
ALABAMA,2010,1,3.27,4.7
ALABAMA,2010,2,3.8,3.9
ALABAMA,2010,3,9.71,5.56
ALABAMA,2010,4,17.45,2.51
ALABAMA,2010,5,22.75,5.9
ALABAMA,2010,6,27.24,3.27
ALABAMA,2010,7,28.26,2.59
ALABAMA,2010,8,28.21,4.45
ALABAMA,2010,9,24.93,1.05
ALABAMA,2010,10,17.91,2.77
ALABAMA,2010,11,12.28,4.92
ALABAMA,2010,12,3.39,1.34
ALABAMA,2011,1,3.99,2.63
ALABAMA,2011,2,8.77,3.6
ALABAMA,2011,3,13.64,7.07
ALABAMA,2011,4,18.29,3.93
ALABAMA,2011,5,20.8,1.16
ALABAMA,2011,6,27.74,2.92
ALABAMA,2011,7,28.34,4.63
ALABAMA,2011,8,28.75,1.17
ALABAMA,2011,9,22.28,5.55
ALABAMA,2011,10,15.78,0.61
ALABAMA,2011,11,12.41,4.12
ALABAMA,2011,12,8.8,3.73
ALABAMA,2012,1,9.3,4.55
ALABAMA,2012,2,10.38,3.84
ALABAMA,2012,3,17.11,4.89
ALABAMA,2012,4,18.32,1.12
ALABAMA,2012,5,22.74,3.84
ALABAMA,2012,6,25.69,1.57
ALABAMA,2012,7,28.13,4.68
ALABAMA,2012,8,25.94,4.04
ALABAMA,2012,9,22.85,5.37
ALABAMA,2012,10,16.62,1.26
ALABAMA,2012,11,10.29,1.13
ALABAMA,2012,12,9.59,6.24
ALABAMA,2013,1,9.05,5.89
ALABAMA,2013,2,8.15,7.95
ALABAMA,2013,3,8.99,3.48
ALABAMA,2013,4,16.11,4.47
ALABAMA,2013,5,19.77,3.11
ALABAMA,2013,6,25.22,4.53
ALABAMA,2013,7,25.28,7.47
ALABAMA,2013,8,25.74,3.9
ALABAMA,2013,9,23.58,1.65
ALABAMA,2013,10,17.88,1.4
ALABAMA,2013,11,10.11,2.7
ALABAMA,2013,12,7.83,7.4
ALABAMA,2014,1,1.75,1.94
ALABAMA,2014,2,7.23,4.91
ALABAMA,2014,3,11.1,4.94
